character,dialog,episode_num
Iroh,"I'm going to bed now.  Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed.",1
Zuko,Because their  honor  didn't hinge on the Avatar's capture. Mine  does.  This coward's hundred years in hiding are over.,1
Katara,Hey.,1
Aang,Hey. What'cha thinkin' about?,1
Katara,"I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?",1
Aang,"Oh, no. I didn't know him. I mean, I knew people that knew him, but I didn't. Sorry. ",1
Katara,Okay. Just curious.  Good night.,1
Aang,Sleep tight.,1
Katara,Aang? Aang! Wake up.  Everyone's waiting to meet you.,1
Katara,"Aang,  this  is the entire village.  Entire village, Aang.",1
Aang," Uh, why are they all looking at me like that? Did Appa sneeze on me?",1
Kanna,"Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you.",1
Aang, Extinct?,1
Katara," Aang, this is my grandmother.",1
Kanna, Call me Gran-Gran.,1
Sokka," What is this, a weapon? You can't  stab  anything with this!",1
Aang,,1
Village girl, Magic trick! Do it again!,1
Aang,"Not magic, airbending.  It lets me control the air currents around my glider and fly.",1
Sokka," Ya know, last time I checked, humans  can't fly!",1
Aang, Check again!,1
Village girl, He's flying!,1
Village girl,It's amazing!,1
Sokka, My watchtower!,1
Katara, That was  amazing!,1
Sokka,,1
Aang, You're a waterbender?,1
Katara," Well, sort of. Not yet.",1
Kanna,"All right, no more playing. Come on, Katara, you have chores.",1
Katara," I told you, he's the real thing Gran-Gran! I finally found a bender to teach me!",1
Kanna," Katara, try not to put all your hopes in this boy.",1
Katara,But he's special! I can tell!  I sense he's filled with  much  wisdom.,1
Aang, See? Now my tongue is stuck to my staff!,1
Iroh, Again.,1
Iroh, Get it right this time.,1
Zuko, Enough! I've been drilling this sequence all day. Teach me the next set! I'm  more  than ready!,1
Iroh,"No, you are impatient.  Drill it again!",1
Zuko, You  will  teach me the advanced set!,1
Iroh,,1
Sokka,,1
Southern Water Tribe boy, I gotta pee!,1
Sokka,,1
Southern Water Tribe boy,But I really gotta go!,1
Sokka," Okay, who else has to go?",1
Katara, Have you seen Aang? Gran-Gran said he disappeared over  an hour  ago.,1
Aang, Wow!  Everything  freezes in there!,1
Sokka," Katara, get him out of here! This lesson is for warriors  only  !",1
Village boy,Whee!,1
Sokka, What's wrong with you?! We don't have time for fun and games with  the War  going on!,1
Aang, What war? What are you talking about?,1
Sokka," You're kidding, right?",1
Aang, Penguin!,1
Sokka,"He's kidding, right?",1
Katara,Aang?,1
Aang, Heh heh. I have a way with animals.,1
Katara," Hehehe, Aang, I'll help  you  catch a penguin if you teach  me  waterbending.",1
Aang," I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?",1
Katara, No. You're looking at the  only  waterbender in the whole South Pole.,1
Aang,"This isn't right. A waterbender needs to master water.  What about the North Pole? There's another Water Tribe up there, right? Maybe they have waterbenders who could teach you.",1
Katara,"Maybe, but we haven't had contact with our sister tribe in a long time. It's not exactly ""turn right at the second glacier"". It's on the other side of  the world  .",1
Aang,"But you forget,  I  have a flying bison.  Appa and I can  personally  fly you to the North Pole. Katara, we're going to find you a master!",1
Katara," That's ... I mean, I don't know. I've never left home before.",1
Aang,"Well, you think about it, but in the meantime, can you teach me to catch one of these penguins?",1
Katara, Observe!,1
Aang,"Hi hi hi! Ha, ha, ha!",1
Katara, I haven't done this since I was a kid!,1
Aang,You still  are  a kid!,1
Aang, Whoa! What is  that?,1
Katara," Aang, stop! We're not allowed to go near it! The ship could be booby-trapped!",1
Aang,"If you want to be a bender, you  have  to let go of fear.",1
Katara, It was part of the Fire Nation's first attacks.,1
Aang,"Okay, back up. I have friends  all over  the world, even in the Fire Nation.  I've never seen  any  war.",1
Katara,"Aang, how long were you in that iceberg?",1
Aang," I don't know. A few days, maybe?",1
Katara,I think it was more like a hundred  years!,1
Aang, What?! That's impossible! Do I look like a hundred-twelve-year-old man to you?,1
Katara,"Think about it. The War is a century old. You don't know about it because, somehow, you were in there the whole time!  It's the only explanation.",1
Aang,A hundred years!  I can't believe it.,1
Katara," I'm sorry, Aang. Maybe somehow there's a bright side to all this ...",1
Aang, I  did  get to meet you.,1
Katara," Come on, let's get out of here.",1
Katara,"Aang, let's head back, this place is creepy.",1
Aang,Huh?,1
Aang,What's that you said about booby traps?,1
Aang,Uh oh ...  Hold on tight!,1
Katara,Aaah!,1
Zuko,The last airbender!  As  well  as his hiding place ...,1
Katara,"Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then, everything changed when the Fire Nation attacked. Only the Avatar, master of all four elements, could stop them, but when the world needed him most, he vanished. A hundred years passed, and my brother and I discovered the new Avatar, an airbender named Aang. And although his airbending skills are great, he has a lot to learn before he's ready to save anyone. But I believe Aang can save the world.",2
Village kids, Yay! Aang's back!,2
Sokka," You signaled the Fire Navy with that flare! You're leading them straight to us, aren't you?",2
Katara, Aang didn't do anything! It was an accident.,2
Aang, -- we booby-ed right into it.,2
Kanna," Katara, you shouldn't have gone on that ship! Now we could  all  be in danger!",2
Aang, Don't blame Katara. I brought her there. It's my fault.,2
Sokka, The foreigner is banished from our village.,2
Katara," Sokka, you're making a mistake.",2
Sokka," I'm protecting you, from threats like him!",2
Katara, Don't you see? Aang's brought us something we haven't had in a long time: fun.,2
Sokka, Fun?! We can't fight firebenders with fun!,2
Aang, You should try it sometime.,2
Sokka, Get out of our village!  Now!,2
Katara," Grandmother, please.  Don't  let Sokka do this!",2
Kanna," Katara, you knew going on that ship was forbidden. Sokka is right. I think it best if the airbender leaves.",2
Katara," Come on Aang, let's go.",2
Sokka, Where do you think  you're  going?,2
Katara, To find a waterbender. Aang is taking  me  to the North Pole.,2
Aang, Great!,2
Sokka,Katara! Would you really choose him over your tribe?  Your own family?,2
Aang," Katara, I don't want to come between you and your family.",2
Katara, This is goodbye?,2
Aang,Thanks for penguin sledding with me.,2
Katara, Where will you go?,2
Aang,Guess I'll go back home and look for the airbenders.  It was nice meeting everyone.,2
Sokka," Let's see your bison fly now,  air boy.",2
Aang," Come on Appa, you can do it. Yip-yip!",2
Sokka," Yeah, I thought so!",2
Southern Water Tribe girl," Aang, don't go! I'll miss you!",2
Aang," Come on, boy.",2
Kanna,,2
Katara, There goes my  one  chance at becoming a waterbender!,2
Sokka,"All right, ready our defenses! The Fire Nation could be on our shores any moment now!",2
Southern Water Tribe boy, But I gotta ...,2
Sokka, And  no  potty breaks!,2
Aang," Appa, wait here.",2
Sokka, Oh man!,2
Sokka, Oh maaan ...,2
Katara," Sokka, get out of the way!",2
Zuko, Where are you hiding him?,2
Zuko," He'd be about this age, master of  all  elements?",2
Zuko, I  know  you're hiding him!,2
Village boy,Show no fear!,2
Aang," Hey, Katara. Hey, Sokka.",2
Sokka," Hi, Aang. Thanks for coming.",2
Aang,Looking for me?,2
Zuko,  You're  the airbender?  You're  the Avatar?,2
Katara, Aang?,2
Sokka, No way!,2
Zuko,"I've spent years preparing for this encounter. Training, meditating.  You're just a child!",2
Aang," Well, you're just a teenager.",2
Aang,"If I go with you,  will you promise to leave everyone alone?",2
Katara," No! Aang,  don't  do this!",2
Aang, Take care of Appa for me until I get back.,2
Zuko, Head a course for the Fire Nation. I'm going home.,2
Katara," We have to go after that ship, Sokka. Aang saved our tribe, now we have to save him.",2
Sokka,"Katara, I --",2
Katara," If we don't help him, no one will. I know you don't like Aang, but we owe him and --",2
Sokka," Are you gonna talk all day, or are you comin' with me?",2
Katara,,2
Sokka," Get in, we're going to save your boyfriend.",2
Katara, He's not my --,2
Sokka, Whatever.,2
Kanna, What do you two think you're doing?,2
Kanna," And you, my brave warrior, be nice to your sister.",2
Sokka,,2
Kanna,Aang is the Avatar. He's the world's only chance. You both found him for a reason. Now your destinies are intertwined with his.,2
Katara, There's no way we're going to catch a warship with a  canoe.,2
Katara,,2
Sokka," You just looove taking me out of my comfort zone, don't you?",2
Zuko,This staff will make an excellent gift for my father.  and take this to my quarters.,2
Iroh," Hey, you mind taking this to his quarters for me?",2
Aang," So, I guess you've never fought an airbender before. I bet I could take you  both  with my hands tied behind my back.",2
Firebender, Silence.,2
Firebender,The Avatar has escaped!,2
Sokka, Soar.,2
Katara," Please, Appa. We need your help.  Aang  needs your help.",2
Sokka, Up. Ascend. Elevate.,2
Katara,"Sokka doesn't believe you can fly, but I do, Appa. ",2
Sokka,What was it that kid said? Yee-haw? Hup-hup? Wah-hoo? Uh ... Yip-yip?,2
Katara," You did it, Sokka!",2
Sokka," He's flying! He's flying! Katara, he's -",2
Sokka,,2
Aang,"You haven't seen my staff around, have you?",2
Aang, Thanks anyway!,2
Aang, Sorry!,2
Aang,My staff!,2
Zuko,Looks like I underestimated you.,2
Zuko, What is that?,2
Aang, Appa!,2
Katara, Aang! No!,2
Katara, Aang! Aang! Aang!,2
Katara, Did you see what he just did?!,2
Sokka, Now  that  was some waterbending!,2
Katara, Aang! Are you okay?,2
Aang," Hey, Katara. Hey, Sokka. Thanks for coming.",2
Sokka,"Well, I couldn't let you have  all  the glory.",2
Aang, I dropped my staff.,2
Sokka, Got it!,2
Sokka, Ha! That's from the Water Tribe!,2
Sokka, Katara!,2
Katara," Hurry up, Sokka!",2
Sokka, Yip-yip! Yip-yip!,2
Iroh, Duh? Huh?,2
Zuko, Shoot them down!,2
Iroh, Good news for the Fire Lord. The Fire Nation's greatest  threat  is just a little kid.,2
Zuko, Dig the ship out and follow them!,2
Zuko, As soon as you're done with that.,2
Katara, How did you do that?! With the water? It was the most  amazing  thing I've  ever  seen!,2
Aang, I don't know. I just sort of ... did it.,2
Katara, Why didn't you tell us  you  were the Avatar?,2
Aang,Because ...  I never wanted to be.,2
Katara,"But Aang, the world's been  waiting  for the Avatar to return and finally put an end to this war.",2
Aang, And how am I going to do that?,2
Katara,"According to legend, you need to first master water, then earth, then fire, right?",2
Aang, That's what the monks told me.,2
Katara," Well, if we go to the North Pole, you can master waterbending!",2
Aang, We can learn it together!,2
Katara," And Sokka, I'm sure you'll get to knock some firebender heads on the way.",2
Sokka, I'd like that. I'd  reeally  like that.,2
Katara, Then we're in this together!,2
Aang," Here, here and here.",2
Katara,,2
Aang," They don't like people riding them, but that's what makes it fun!",2
Aang," Wait 'til you see it, Katara! The Air Temple is one of the most  beautiful  places in the world!",3
Katara, but it's been a hundred years since you've been home.,3
Aang, That's  why  I'm so excited!,3
Katara, It's just that ... a lot can change in all that time.,3
Aang," I know, but I need to see it for myself.",3
Aang,,3
Sokka, Uggh! Sleep now. Temple later.,3
Aang, There's a prickle snake in your sleeping bag!,3
Sokka, Ahh!,3
Aang, Great! You're awake! Let's go!,3
Zuko,"Uncle, I want the repairs made as quickly as possible. I don't want to stay too long and risk losing his trail.",3
Iroh, You mean the Avatar?,3
Zuko," Once word gets out that he's alive, every firebender will be out looking for him, and I don't want anyone getting in the way!",3
Zhao, Prince Zuko?,3
Zuko, Captain Zhao.,3
Zhao, General Iroh. Great hero of our nation.,3
Iroh,  Retired  general.,3
Zhao,The Fire Lord's brother and son are welcome guests anytime. What brings you to my harbor?,3
Iroh,Our ship is being repaired.,3
Zhao,That's quite a bit of damage.,3
Zuko,Yes.  Uncle! Tell Commander Zhao what happened.,3
Iroh, What? Did we crash or something?,3
Zuko, Yes! Right into ... an Earth Kingdom ship!,3
Zhao, Join me for a drink?,3
Zuko," Sorry, but we have to go.",3
Iroh,"Prince Zuko, show Commander Zhao your respect.  We would be honored to join you. Do you have any ginseng tea? It's my favorite.",3
Sokka," Hey, stomach? Be quiet, all right? I'm  trying  to find us some food.",3
Sokka, Hey! Who ate all of my blubbered seal jerky?!,3
Aang, Sorry.,3
Sokka, No wonder the flames smelled so good.,3
Aang, The Patola Mountain range! We're almost there!,3
Katara," Aang, before we get to the temple, I want to talk to you about the airbenders.",3
Aang, What about 'em?,3
Katara," They killed my mother, and they could have done the same to your people.",3
Aang," Just because no one has seen an airbender, doesn't mean the Fire Nation killed them all. They probably escaped!",3
Katara, I know it's hard to accept.,3
Aang," Right, Appa?",3
Aang,Yip yip!,3
Aang, There it is. The Southern Air Temple.,3
Katara,"Aang, it's amazing!",3
Aang,,3
Zhao,"... And by the year's end, the Earth Kingdom capital will be under our rule.  The Fire Lord will finally claim victory in this war.",3
Zuko," If my father thinks the rest of the world will follow him willingly, then he is a fool!",3
Zhao," Two years at sea have done little to temper your tongue. So, how is your search for the Avatar going?",3
Iroh,"Eh.. My fault, entirely.",3
Zuko, We haven't found him yet.,3
Zhao,Did you really expect to? The Avatar  died  a hundred years ago.  Unless you have found some evidence that the Avatar is alive?,3
Zuko, Nothing.,3
Zhao," If you have an  ounce  of loyalty left, you'll tell me what you found.",3
Zuko,"I haven't found  Come on, Uncle, we're going.",3
Soldier,"Commander Zhao, we interrogated the crew as you instructed. They confirmed Prince Zuko had the Avatar in custody,  but let him escape.",3
Zhao," how,  exactly  , was your ship damaged?",3
Sokka,So where do I get something to eat?,3
Katara," You're lucky enough to be one of the  first  outsiders to  ever  visit an airbender temple, and all you can think about is food?",3
Sokka,"I'm just a simple guy, with simple needs.",3
Aang,,3
Katara,What's wrong?,3
Aang, I can't believe how much things have changed.,3
Sokka," So uh, this airball game. How do you play?",3
Aang," Sokka, zero!",3
Sokka," Katara, check this out.",3
Katara,Fire Nation.,3
Sokka,We should tell him.,3
Katara, Aang! There's something you need to see.,3
Aang, Okay!,3
Aang, What is it?,3
Katara, Uh ... Just a new waterbending move I learned.,3
Aang,"Nice one! But enough practicing,  we have a whole temple to see!",3
Sokka," You know, you can't protect him forever.",3
Sokka," Katara, firebenders were here. You can't pretend they weren't.",3
Katara,"I can for Aang's sake. If he finds out that the Fire Nation invaded his home, he'll be devastated.",3
Aang, I want you to meet somebody!,3
Sokka,Who's that?,3
Aang, He taught me everything I know.,3
Gyatso,"But the true secret, is in the gooey center.",3
Aang, Hmm ...,3
Gyatso," My ancient cake-making technique isn't the only thing on your mind, is it, Aang?",3
Aang," This whole Avatar thing, m-maybe the monks made a mistake.",3
Gyatso,"The only mistake they made was telling you before you turned sixteen, but we can't concern ourselves with what was. We must act on what is.",3
Aang, But Gyatso? How do I know if I'm ready for this?,3
Gyatso," Your questions will be answered when you're old enough to enter the air temple sanctuary. Inside, you will meet someone who will guide you on your journey.",3
Aang, Who is it?,3
Gyatso, or not?,3
Aang, All right.,3
Gyatso,One.  Two. Three!,3
Gyatso, my young pupil.,3
Katara, You must miss him.,3
Aang,,3
Katara, Where are you going?,3
Aang, The air temple sanctuary. There's someone I'm ready to meet.,3
Katara,"But Aang, no one could have survived in there for a hundred years.",3
Aang, I survived in the iceberg for that long.,3
Katara, Good point.,3
Aang," Katara, whoever's in there might help figure out this Avatar thing!",3
Sokka, cured meats!,3
Sokka,I don't suppose you have a key?,3
Aang," The key, Sokka, is airbending.",3
Aang, Anyone home?,3
Zhao,So a twelve-year-old boy bested you and your firebenders.  You're more pathetic than I thought.,3
Zuko," I underestimated him  once  , but it will  not  happen again!",3
Zhao," No, it will not. Because you won't have a second chance.",3
Zuko, I've been hunting the Avatar for two years and I -,3
Zhao, Capturing the Avatar is too important to leave in a teenager's hands. He's mine now.,3
Zhao,Keep them here.,3
Iroh," More tea, please.",3
Sokka, Statues? That's it? Where's the meat?,3
Katara,Who are all these people?,3
Aang, That one's an airbender.,3
Katara," air, water, earth and fire.",3
Aang,That's the Avatar Cycle.,3
Katara," Of course. They're Avatars. All these people are your past lives, Aang.",3
Aang,Wow! There are so many!,3
Sokka," Katara, you really believe in that stuff?",3
Katara,"It's true.  When the Avatar dies, he's reincarnated into the next nation in the cycle.",3
Katara,Aang! Snap out of it!,3
Aang, Huh?,3
Katara, Who is that?,3
Aang,"That's Avatar Roku, the Avatar before me.",3
Sokka,You were a firebender? No wonder I didn't trust you when we first met.,3
Katara, There's no writing. How do you know his name?,3
Aang,I'm not sure. I just know it somehow.,3
Sokka, You just couldn't get any weirder.,3
Sokka, Firebender. Nobody make a sound.,3
Katara, You're making a sound!,3
Aang and Sokka, Shhhh!,3
Sokka, That firebender won't know what hit him.,3
Aang, Lemur!,3
Sokka, Dinner!,3
Aang, Don't listen to him. You're going to be my new pet.,3
Sokka, Not if I get him first!,3
Aang,Wait! Come back!,3
Sokka,I want to eat you!,3
Sokka,Hey! No fair!,3
Zhao,"My search party is ready. Once I'm out to sea,  you'll be free to go.",3
Zuko, Why? Are you worried I'm going to try and stop you?,3
Zhao, You? Stop me? Impossible.,3
Zuko," Don't underestimate me, Zhao! I will capture the Avatar before you!",3
Iroh," Prince Zuko, that's enough.",3
Zhao," You can't compete with me. I have hundreds of war ships under my command and you? You're just a banished prince. No home, no allies. Your own father doesn't even want you.",3
Zuko," You're wrong! Once I deliver the Avatar to my father, he will welcome me home with honor, and restore my rightful place on the throne!",3
Zhao," If your father really wanted you home, he would have let you return by now, Avatar or no Avatar. But in his eyes you are a failure and a disgrace to the Fire Nation.",3
Zuko, That's not true.,3
Zhao,You have the scar to prove it.,3
Zuko, Maybe you'd like one to match!,3
Zhao, Is that a challenge?,3
Zuko,An Agni Kai. At sunset.,3
Zhao,Very well.  I guess your uncle will do.,3
Iroh," Prince Zuko, have you forgotten what happened last time you dueled a master?",3
Zuko, I will never forget.,3
Aang," Come on out, little lemur! That hungry guy won't bother you anymore.",3
Aang, Firebenders? They were here?,3
Aang, Gyatso.,3
Sokka," Come on, Aang. Everything will be all right. Let's get out of here.",3
Katara, Aang!,3
Fire Sage,Send word to the Fire Lord immediately! The Avatar has returned!,3
Sokka, Aang! Come on! Snap out of it!,3
Sokka,Aaaaahh!,3
Katara, What happened?,3
Sokka, He found out firebenders killed Gyatso!,3
Katara,Oh no! It's his Avatar Spirit! ,3
Sokka," Well, do it! Before he blows us off the mountain!",3
Iroh,"Remember your firebending basics,  Prince Zuko. They are your greatest weapons.",3
Zuko, I refuse to let him win.,3
Zhao, This will be over quickly.,3
Iroh,"Basics, Zuko!  Break his root!",3
Zhao, Do it!,3
Zhao,That's it? Your father raised a coward.,3
Zuko," Next time you get in my way, I promise, I won't hold back.",3
Iroh,"No, Prince Zuko. Do not taint your victory.  Thanks again for the tea. It was delicious.",3
Zuko," Did you really mean that, Uncle?",3
Iroh, Of course. I told you ginseng tea is my favorite.,3
Katara, We're your family now!,3
Sokka, Katara and I aren't going to let anything happen to you. Promise.,3
Aang, I'm sorry.,3
Katara,It's okay. It wasn't your fault.,3
Aang, I really am the last airbender.,3
Katara,Everything's packed. You ready to go?,3
Aang, How is Roku supposed to help me if I can't talk to him?,3
Katara,Maybe you'll find a way.,3
Aang,Looks like you made a new friend Sokka!,3
Sokka,,3
Aang," Hey, little guy!",3
Aang, say hello to the newest member of our family.,3
Katara, What are you going to name him?,3
Aang,Momo.,3
Zuko," The only reason you should be interrupting me, is if you have news about the Avatar.",4
Iroh," Well, there is news, Prince Zuko, but you might not like it. Don't get too upset.",4
Zuko," Uncle, you taught me that keeping a level head is a sign of a great leader. Now, whatever you have to say, I'm sure I can take it.",4
Iroh, We have no idea where he is.,4
Zuko, What!?,4
Iroh,You really should open a window in here.,4
Zuko,,4
Iroh,"Well, there have been multiple sightings of the Avatar, but he is impossible to track down.",4
Zuko, He is clearly a master of evasive maneuvering.,4
Sokka," You have no idea where you're going, do you?",4
Aang,Well ...  I know it's near water.,4
Sokka, I guess we're getting close then.,4
Aang,"Momo, marbles please.  Hey Katara, check out this airbending trick!",4
Katara," That's great, Aang.",4
Aang, You didn't even look.,4
Katara, That's great!,4
Aang, But I'm not doing it now.,4
Sokka," Stop bugging her, airhead. You need to give girls space when they do their sewing.",4
Katara, What does me being a  girl  have to do with sewing?,4
Sokka, It's just the natural order of things.,4
Katara, And look what a great job I did!,4
Sokka," I can't wear these! Katara, please!",4
Aang," Relax, Sokka. Where we're going, you won't need any pants.",4
Sokka,We just made a pit stop yesterday. Shouldn't we get a little more flying done before we camp out?,4
Katara," He's right. At this rate, we won't get to the North Pole until spring.",4
Aang," But Appa's tired, aren't you boy?",4
Aang," I  said,  aren't you boy?",4
Sokka," Still, hard to argue with a ten-ton magical monster.",4
Aang, Look!,4
Aang," Elephant koi, and I'm gonna ride it. Katara, you've got to watch me!",4
Aang,Cold!,4
Aang," Hahaha, hahaha!",4
Katara, Whooh!,4
Katara, He looks pretty good out there.,4
Sokka, The fish is doing all the work.,4
Katara,,4
Aang, Oh man ...,4
Sokka, There's something in the water!,4
Katara, What's wrong?,4
Sokka,Aang's in trouble. Aang!,4
Katara,Get out of there!,4
Sokka,"Get back here, Aang!",4
Aang, Whaaaahh! Aaaah!,4
Aang, Whaaaahh!,4
Katara,What was that thing?,4
Aang,I don't know.,4
Sokka," Well, let's not stick around to find out. Time to hit the road.",4
Sokka,"Or, we could stay a while.",4
Oyaji, You three have some explaining to do.,4
Suki," And if you don't answer all our questions, we're throwing you back in the water with the Unagi.",4
Sokka," Show yourselves, cowards!",4
Sokka, Who are you? Where are the men who ambushed us?,4
Suki," There were no men. We ambushed you. Now tell us, who are you and what are you doing here?",4
Sokka, there's no way that a bunch of girls took us down.,4
Suki," A bunch of girls, huh? The Unagi's gonna eat well tonight.",4
Katara,,4
Aang,It's my fault.  I'm sorry we came here. I wanted to ride the elephant koi.,4
Oyaji, Fire Nation spies? Kyoshi stayed out of the war so far. And we intend to keep it that way!,4
Aang, This island is named for Kyoshi? I know Kyoshi!,4
Oyaji, Ha! How could you possibly know her?,4
Oyaji,Avatar Kyoshi was born here four hundred years ago.  She's been dead for centuries.,4
Aang, I know her because I'm the Avatar.,4
Suki, That's impossible! The last Avatar was an airbender who disappeared a hundred years ago.,4
Aang, That's me!,4
Oyaji, Throw the impostor to the Unagi!,4
Katara, Aang ... do some airbending.,4
Spectators, Wow! Did you see that? Airbender!,4
Oyaji, It's true ... you  are  the Avatar!,4
Aang, check this out!,4
Little girl, The Avatar's on Kyoshi!,4
Fisherman, Huh?,4
Zuko," Uncle, ready the rhinos. He's not getting away from me this time.",4
Iroh, Are you going to finish that?,4
Zuko, I was going to save it for later!,4
Aang, All right! Dessert for breakfast!,4
Aang,These people sure know  how to treat an Avatar!,4
Aang, Katara you've got to try these!,4
Katara," Well, maybe just a bite.",4
Aang,"Sokka, what's your problem?  Eat!",4
Sokka,Not hungry.,4
Aang, But you're always hungry!,4
Katara, He's just upset because a bunch of girls kicked his butt yesterday.,4
Sokka, They snuck up on me!,4
Katara, Right. And  then  they kicked your butt.,4
Sokka, Mmm ... this is tasty.,4
Aang,What's he so angry about?  It's great here. They're giving us the royal treatment!,4
Katara,"Hey, don't get too comfortable. It's risky for us to stay in one place for very long.",4
Aang, They're even cleaning up that statue in my honor!,4
Katara,"Well, it's nice to see you excited about being the Avatar.  I just hope it doesn't all go to your head.",4
Aang," Come on, you know me better than that. I'm just a simple monk.",4
Painter, well that ...,4
Sokka, I can't believe I got beat up by a bunch of girls.,4
Sokka, I was just looking for somewhere to get a little workout?,4
Suki, Sorry about yesterday. I didn't know that you were friends with the Avatar.,4
Sokka," I mean, normally I'd hold a grudge, but seeing as you guys are a bunch of girls, I'll make an exception.",4
Suki, I should hope so. A big strong man like you? We wouldn't stand a chance.,4
Sokka," True. But don't feel bad. After all, I'm the best warrior in my village.",4
Suki, Maybe you'd be kind enough to give us a little demonstration.,4
Sokka, Oh ... Well ... I mean ... I ...,4
Suki," Come on, girls! Wouldn't you like him to show us some moves?",4
Sokka,"Well, if that's what you want, I'd be happy to.  All right, you stand over there. Now, this may be a little tough, but try to block me.",4
Sokka," Aw! Heh heh ... Good. Of course, I was going easy on you.",4
Suki, Of course.,4
Sokka, handle  this  !,4
Sokka, That does it!,4
Suki, Anything else you want to teach us?,4
Aang,"There she is, girls. Me in a past life.",4
Fangirls,Ooohhh ...,4
Koko, You were pretty!,4
Aang," Excuse me for a second, ladies.",4
Katara, It's a little heavy.,4
Aang," Actually, I can't right now.",4
Katara," What do you mean, ""you can't?""",4
Aang,I promised the girls I'd give them a ride on Appa. Why don't you come with us? It'll be fun!,4
Katara, Watching you show off for a bunch of girls does  not  sound like fun.,4
Aang," Well, neither does carrying your basket.",4
Katara," It's not  my  basket. These supplies are for our trip. I told you, we have to leave Kyoshi soon.",4
