character,dialog,episode,season
Katara,"Aang? Aang! Wake up.  It's okay, we're in the village now! Come on, get ready.  Everyone's waiting to meet you.",1.0,1.0
Katara,"Aang,  this  is the entire village.  Entire village, Aang.",1.0,1.0
Aang," Uh, why are they all looking at me like that? Did Appa sneeze on me?",1.0,1.0
Kanna,"Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you.",1.0,1.0
Aang, Extinct?,1.0,1.0
Katara," Aang, this is my grandmother.",1.0,1.0
Kanna, Call me Gran-Gran.,1.0,1.0
Sokka," What is this, a weapon? You can't  stab  anything with this!",1.0,1.0
Aang, It's not for stabbing! It's for airbending. ,1.0,1.0
Village girl, Magic trick! Do it again!,1.0,1.0
Aang,"Not magic, airbending.  It lets me control the air currents around my glider and fly.",1.0,1.0
Sokka," Ya know, last time I checked, humans  can't fly!",1.0,1.0
Aang, Check again!,1.0,1.0
Village girl, He's flying!,1.0,1.0
Village girl,It's amazing!,1.0,1.0
Sokka, My watchtower!,1.0,1.0
Katara, That was  amazing!,1.0,1.0
Sokka," Great. You're an airbender, Katara's a waterbender. Together you can just waste time  all  day long. ",1.0,1.0
Aang, You're a waterbender?,1.0,1.0
Katara," Well, sort of. Not yet.",1.0,1.0
Kanna,"All right, no more playing. Come on, Katara, you have chores.",1.0,1.0
Katara," I told you, he's the real thing Gran-Gran! I finally found a bender to teach me!",1.0,1.0
Kanna," Katara, try not to put all your hopes in this boy.",1.0,1.0
Katara,But he's special! I can tell!  I sense he's filled with  much  wisdom.,1.0,1.0
Aang, See? Now my tongue is stuck to my staff!,1.0,1.0
Iroh, Again.,1.0,1.0
Iroh," No!  Power in firebending comes from the breath , not the muscles.  The breath becomes energy in the body. The energy extends past your limbs and becomes: fire!  Get it right this time.",1.0,1.0
Zuko, Enough! I've been drilling this sequence all day. Teach me the next set! I'm  more  than ready!,1.0,1.0
Iroh,"No, you are impatient.  You have yet to master your basics.  Drill it again!",1.0,1.0
Zuko, The sages tell us that the Avatar is the last airbender.  He must be over a hundred years old by now. He's had a century to master the four elements! I'll need more than basic firebending to defeat him.  You  will  teach me the advanced set!,1.0,1.0
Iroh," Very well,  but first, I must finish my roast duck. ",1.0,1.0
Sokka," Now men, it's important that you show no fear when you face a firebender.  In the Water Tribe, we fight to the last man standing! For without courage, how can we call ourselves men? ",1.0,1.0
Southern Water Tribe boy, I gotta pee!,1.0,1.0
Sokka," Listen! Until your fathers return from the War, they're counting on  you  to be the men of this tribe, and that means  no potty breaks  ! ",1.0,1.0
Southern Water Tribe boy,But I really gotta go!,1.0,1.0
Sokka," Okay, who else has to go?",1.0,1.0
Katara, Have you seen Aang? Gran-Gran said he disappeared over  an hour  ago.,1.0,1.0
Aang, Wow!  Everything  freezes in there!,1.0,1.0
Sokka," Uh!  Katara, get him out of here! This lesson is for warriors  only  !",1.0,1.0
Village boy,Whee!,1.0,1.0
Sokka, Stop! Stop it right now!  What's wrong with you?! We don't have time for fun and games with  the War  going on!,1.0,1.0
Aang, What war? What are you talking about?,1.0,1.0
Sokka," You're kidding, right?",1.0,1.0
Aang, Penguin!,1.0,1.0
Sokka,"He's kidding, right?",1.0,1.0
Katara,Aang?,1.0,1.0
Aang," Hey, come on little guy. Wanna go sledding?  Heh heh. I have a way with animals.",1.0,1.0
Katara," Hehehe, Aang, I'll help  you  catch a penguin if you teach  me  waterbending.",1.0,1.0
Aang," You got a deal! Just one little problem ...  I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?",1.0,1.0
Katara, No. You're looking at the  only  waterbender in the whole South Pole.,1.0,1.0
Aang,"This isn't right. A waterbender needs to master water.  What about the North Pole? There's another Water Tribe up there, right? Maybe they have waterbenders who could teach you.",1.0,1.0
Katara,"Maybe, but we haven't had contact with our sister tribe in a long time. It's not exactly ""turn right at the second glacier"". It's on the other side of  the world  .",1.0,1.0
Aang,"But you forget,  I  have a flying bison.  Appa and I can  personally  fly you to the North Pole. Katara, we're going to find you a master!",1.0,1.0
Katara," That's ... I mean, I don't know. I've never left home before.",1.0,1.0
Aang,"Well, you think about it, but in the meantime, can you teach me to catch one of these penguins?",1.0,1.0
Katara," Okay, listen closely my young pupil.  Catching penguins is an ancient and sacred art.  Observe!",1.0,1.0
Aang,"Hi hi hi! Ha, ha, ha!",1.0,1.0
Katara, I haven't done this since I was a kid!,1.0,1.0
Aang,You still  are  a kid!,1.0,1.0
Aang, Whoa! What is  that?,1.0,1.0
Katara," A Fire Navy ship. And a very bad memory for my people.  Aang, stop! We're not allowed to go near it! The ship could be booby-trapped!",1.0,1.0
Aang,"If you want to be a bender, you  have  to let go of fear.",1.0,1.0
Katara, This ship has haunted my tribe since Gran-Gran was a little girl.  It was part of the Fire Nation's first attacks.,1.0,1.0
Aang,"Okay, back up. I have friends  all over  the world, even in the Fire Nation.  I've never seen  any  war.",1.0,1.0
Katara,"Aang, how long were you in that iceberg?",1.0,1.0
Aang," I don't know. A few days, maybe?",1.0,1.0
Katara,I think it was more like a hundred  years!,1.0,1.0
Aang, What?! That's impossible! Do I look like a hundred-twelve-year-old man to you?,1.0,1.0
Katara,"Think about it. The War is a century old. You don't know about it because, somehow, you were in there the whole time!  It's the only explanation.",1.0,1.0
Aang,A hundred years!  I can't believe it.,1.0,1.0
Katara," I'm sorry, Aang. Maybe somehow there's a bright side to all this ...",1.0,1.0
Aang, I  did  get to meet you.,1.0,1.0
Katara," Come on, let's get out of here.",1.0,1.0
Katara,"Aang, let's head back, this place is creepy.",1.0,1.0
Aang,Huh?,1.0,1.0
Aang,What's that you said about booby traps?,1.0,1.0
Aang,Uh oh ...  Hold on tight!,1.0,1.0
Katara,Aaah!,1.0,1.0
Zuko,The last airbender!  Quite agile for his old age.  Wake my uncle! Tell him I found the Avatar.  As  well  as his hiding place ...,1.0,1.0
Katara,"Water. Earth. Fire. Air. Long ago, the four nations lived together in harmony. Then, everything changed when the Fire Nation attacked. Only the Avatar, master of all four elements, could stop them, but when the world needed him most, he vanished. A hundred years passed, and my brother and I discovered the new Avatar, an airbender named Aang. And although his airbending skills are great, he has a lot to learn before he's ready to save anyone. But I believe Aang can save the world.",2.0,1.0
Village kids, Yay! Aang's back!,2.0,1.0
Sokka," I knew it!  You signaled the Fire Navy with that flare! You're leading them straight to us, aren't you?",2.0,1.0
Katara, Aang didn't do anything! It was an accident.,2.0,1.0
Aang," Yeah. We were on the ship and there was this booby trap, and, well --  -- we booby-ed right into it.",2.0,1.0
Kanna," Katara, you shouldn't have gone on that ship! Now we could  all  be in danger!",2.0,1.0
Aang, Don't blame Katara. I brought her there. It's my fault.,2.0,1.0
Sokka," Aha! The traitor confesses! Warriors, away from the enemy.  The foreigner is banished from our village.",2.0,1.0
Katara," Sokka, you're making a mistake.",2.0,1.0
Sokka," No, I'm keeping my promise to Dad.  I'm protecting you, from threats like him!",2.0,1.0
Katara, Aang is  not  our enemy!  Don't you see? Aang's brought us something we haven't had in a long time: fun.,2.0,1.0
Sokka, Fun?! We can't fight firebenders with fun!,2.0,1.0
Aang, You should try it sometime.,2.0,1.0
Sokka, Get out of our village!  Now!,2.0,1.0
Katara," Grandmother, please.  Don't  let Sokka do this!",2.0,1.0
Kanna," Katara, you knew going on that ship was forbidden. Sokka is right. I think it best if the airbender leaves.",2.0,1.0
Katara," Fine! Then I'm banished, too!  Come on Aang, let's go.",2.0,1.0
Sokka, Where do you think  you're  going?,2.0,1.0
Katara, To find a waterbender. Aang is taking  me  to the North Pole.,2.0,1.0
Aang, I am?  Great!,2.0,1.0
Sokka,Katara! Would you really choose him over your tribe?  Your own family?,2.0,1.0
Aang," Katara, I don't want to come between you and your family.",2.0,1.0
Katara," So, you're leaving the South Pole?  This is goodbye?",2.0,1.0
Aang,Thanks for penguin sledding with me.,2.0,1.0
Katara, Where will you go?,2.0,1.0
Aang,"Guess I'll go back home and look for the airbenders.  Wow, I haven't cleaned my room in a hundred years. Not looking forward to  that.   It was nice meeting everyone.",2.0,1.0
Sokka," Let's see your bison fly now,  air boy.",2.0,1.0
Aang," Come on Appa, you can do it. Yip-yip!",2.0,1.0
Sokka," Yeah, I thought so!",2.0,1.0
Southern Water Tribe girl," Ahhh!  Aang, don't go! I'll miss you!",2.0,1.0
Aang," I'll miss you, too.  Come on, boy.",2.0,1.0
Kanna," Katara, you'll feel better after you- ",2.0,1.0
Katara, You happy now?  There goes my  one  chance at becoming a waterbender!,2.0,1.0
Sokka,"All right, ready our defenses! The Fire Nation could be on our shores any moment now!",2.0,1.0
Southern Water Tribe boy, But I gotta ...,2.0,1.0
Sokka, And  no  potty breaks!,2.0,1.0
Aang," Yeah, I liked her too.  The village!  Appa, wait here.",2.0,1.0
Sokka, Oh man!,2.0,1.0
Sokka, Oh maaan ...,2.0,1.0
Katara," Sokka, get out of the way!",2.0,1.0
Zuko, Where are you hiding him?,2.0,1.0
Zuko," He'd be about this age, master of  all  elements?",2.0,1.0
Zuko, I  know  you're hiding him!,2.0,1.0
Village boy,Show no fear!,2.0,1.0
Aang," Hey, Katara. Hey, Sokka.",2.0,1.0
Sokka," Hi, Aang. Thanks for coming.",2.0,1.0
Aang,Looking for me?,2.0,1.0
Zuko,  You're  the airbender?  You're  the Avatar?,2.0,1.0
Katara, Aang?,2.0,1.0
Sokka, No way!,2.0,1.0
Zuko,"I've spent years preparing for this encounter. Training, meditating.  You're just a child!",2.0,1.0
Aang," Well, you're just a teenager.",2.0,1.0
Aang,"If I go with you,  will you promise to leave everyone alone?",2.0,1.0
Katara," No! Aang,  don't  do this!",2.0,1.0
Aang," Don't worry, Katara. It'll be okay.  Take care of Appa for me until I get back.",2.0,1.0
Zuko, Head a course for the Fire Nation. I'm going home.,2.0,1.0
Katara," We have to go after that ship, Sokka. Aang saved our tribe, now we have to save him.",2.0,1.0
Sokka,"Katara, I --",2.0,1.0
Katara," Why can't you realize that he's on our side?  If we don't help him, no one will. I know you don't like Aang, but we owe him and --",2.0,1.0
Sokka," Katara!  Are you gonna talk all day, or are you comin' with me?",2.0,1.0
Katara, Sokka! ,2.0,1.0
Sokka," Get in, we're going to save your boyfriend.",2.0,1.0
Katara, He's not my --,2.0,1.0
Sokka, Whatever.,2.0,1.0
Kanna, What do you two think you're doing?,2.0,1.0
Kanna," You'll need these.  You have a long journey ahead of you.  It's been so long since I've had hope, but you brought it back to life, my little waterbender.  And you, my brave warrior, be nice to your sister.",2.0,1.0
Sokka," Yeah, okay Gran. ",2.0,1.0
Kanna,Aang is the Avatar. He's the world's only chance. You both found him for a reason. Now your destinies are intertwined with his.,2.0,1.0
Katara, There's no way we're going to catch a warship with a  canoe.,2.0,1.0
Katara, Appa! ,2.0,1.0
Sokka," You just looove taking me out of my comfort zone, don't you?",2.0,1.0
Zuko,"This staff will make an excellent gift for my father.  I suppose you wouldn't know of fathers, being raised by monks.  Take the Avatar to the prison hold,  and take this to my quarters.",2.0,1.0
Iroh," Hey, you mind taking this to his quarters for me?",2.0,1.0
Aang," So, I guess you've never fought an airbender before. I bet I could take you  both  with my hands tied behind my back.",2.0,1.0
Firebender, Silence.,2.0,1.0
Firebender,The Avatar has escaped!,2.0,1.0
Sokka, Go. Fly.  Soar.,2.0,1.0
Katara," Please, Appa. We need your help.  Aang  needs your help.",2.0,1.0
Sokka, Up. Ascend. Elevate.,2.0,1.0
Katara,"Sokka doesn't believe you can fly, but I do, Appa.  Come on, don't you want to save Aang? ",2.0,1.0
Sokka,What was it that kid said? Yee-haw? Hup-hup? Wah-hoo? Uh ... Yip-yip?,2.0,1.0
Katara," You did it, Sokka!",2.0,1.0
Sokka," He's flying! He's flying! Katara, he's -",2.0,1.0
Sokka," I mean, big deal. He's flying. ",2.0,1.0
Aang,"You haven't seen my staff around, have you?",2.0,1.0
Aang, Thanks anyway!,2.0,1.0
Aang, Sorry!,2.0,1.0
Aang,My staff!,2.0,1.0
Zuko,Looks like I underestimated you.,2.0,1.0
Zuko, What is that?,2.0,1.0
Aang, Appa!,2.0,1.0
Katara, Aang! No!,2.0,1.0
Katara, Aang! Aang! Aang!,2.0,1.0
Katara, Did you see what he just did?!,2.0,1.0
Sokka, Now  that  was some waterbending!,2.0,1.0
Katara, Aang! Are you okay?,2.0,1.0
Aang," Hey, Katara. Hey, Sokka. Thanks for coming.",2.0,1.0
Sokka,"Well, I couldn't let you have  all  the glory.",2.0,1.0
Aang, I dropped my staff.,2.0,1.0
Sokka, Got it!,2.0,1.0
Sokka, Ha! That's from the Water Tribe!,2.0,1.0
Sokka, Katara!,2.0,1.0
Katara," Hurry up, Sokka!",2.0,1.0
Sokka," I'm just a guy, with a boomerang.  I didn't ask for all this flying and  magic!   Yip-yip! Yip-yip!",2.0,1.0
Iroh, Duh? Huh?,2.0,1.0
Zuko, Shoot them down!,2.0,1.0
Iroh, Good news for the Fire Lord. The Fire Nation's greatest  threat  is just a little kid.,2.0,1.0
Zuko," That ""kid"", Uncle, just did  this.   I won't underestimate him again.  Dig the ship out and follow them!",2.0,1.0
Zuko, As soon as you're done with that.,2.0,1.0
Katara, How did you do that?! With the water? It was the most  amazing  thing I've  ever  seen!,2.0,1.0
Aang, I don't know. I just sort of ... did it.,2.0,1.0
Katara, Why didn't you tell us  you  were the Avatar?,2.0,1.0
Aang,Because ...  I never wanted to be.,2.0,1.0
Katara,"But Aang, the world's been  waiting  for the Avatar to return and finally put an end to this war.",2.0,1.0
Aang, And how am I going to do that?,2.0,1.0
Katara,"According to legend, you need to first master water, then earth, then fire, right?",2.0,1.0
Aang, That's what the monks told me.,2.0,1.0
Katara," Well, if we go to the North Pole, you can master waterbending!",2.0,1.0
Aang, We can learn it together!,2.0,1.0
Katara," And Sokka, I'm sure you'll get to knock some firebender heads on the way.",2.0,1.0
Sokka, I'd like that. I'd  reeally  like that.,2.0,1.0
Katara, Then we're in this together!,2.0,1.0
Aang," All right, but before I learn waterbending, we have some  serious  business to attend to.  Here, here and here.",2.0,1.0
Katara, What's there? ,2.0,1.0
Aang," Here, we'll ride the hopping llamas.  Then waaay over here, we'll surf on the backs of giant koi fish.  Then back over here, we'll ride the hog monkeys.  They don't like people riding them, but that's what makes it fun!",2.0,1.0
Aang," Wait 'til you see it, Katara! The Air Temple is one of the most  beautiful  places in the world!",3.0,1.0
Katara," Aang, I know you're excited,  but it's been a hundred years since you've been home.",3.0,1.0
Aang, That's  why  I'm so excited!,3.0,1.0
Katara, It's just that ... a lot can change in all that time.,3.0,1.0
Aang," I know, but I need to see it for myself.",3.0,1.0
Aang," Wake up, Sokka! Air Temple, here we come! ",3.0,1.0
Sokka, Uggh! Sleep now. Temple later.,3.0,1.0
Aang, Sokka! Wake up!  There's a prickle snake in your sleeping bag!,3.0,1.0
Sokka, Ahh!  Get it off! Get it off!  Ahh!,3.0,1.0
Aang, Great! You're awake! Let's go!,3.0,1.0
Zuko,"Uncle, I want the repairs made as quickly as possible. I don't want to stay too long and risk losing his trail.",3.0,1.0
Iroh, You mean the Avatar?,3.0,1.0
Zuko," Don't mention his name on these docks!  Once word gets out that he's alive, every firebender will be out looking for him, and I don't want anyone getting in the way!",3.0,1.0
Zhao," Getting in the way of what,  Prince Zuko?",3.0,1.0
Zuko, Captain Zhao.,3.0,1.0
Zhao, It's  commander  now. And  General Iroh. Great hero of our nation.,3.0,1.0
Iroh,  Retired  general.,3.0,1.0
Zhao,The Fire Lord's brother and son are welcome guests anytime. What brings you to my harbor?,3.0,1.0
Iroh,Our ship is being repaired.,3.0,1.0
Zhao,That's quite a bit of damage.,3.0,1.0
Zuko,Yes.  You wouldn't believe what happened.  Uncle! Tell Commander Zhao what happened.,3.0,1.0
Iroh, Yes. I will do that.  It was incredible!  What? Did we crash or something?,3.0,1.0
Zuko, Yes! Right into ... an Earth Kingdom ship!,3.0,1.0
Zhao, Really? You must regale me with all of the  thrilling  details.  Join me for a drink?,3.0,1.0
Zuko," Sorry, but we have to go.",3.0,1.0
Iroh,"Prince Zuko, show Commander Zhao your respect.  We would be honored to join you. Do you have any ginseng tea? It's my favorite.",3.0,1.0
Sokka," Hey, stomach? Be quiet, all right? I'm  trying  to find us some food.",3.0,1.0
Sokka, Hey! Who ate all of my blubbered seal jerky?!,3.0,1.0
Aang, Oh. That was food?  I used it to start the campfire last night.  Sorry.,3.0,1.0
Sokka, You  what  ?!  No wonder the flames smelled so good.,3.0,1.0
Aang, The Patola Mountain range! We're almost there!,3.0,1.0
Katara," Aang, before we get to the temple, I want to talk to you about the airbenders.",3.0,1.0
Aang, What about 'em?,3.0,1.0
Katara," Well, I just want you to be prepared for what you might see. The Fire Nation is ruthless.  They killed my mother, and they could have done the same to your people.",3.0,1.0
Aang," Just because no one has seen an airbender, doesn't mean the Fire Nation killed them all. They probably escaped!",3.0,1.0
Katara, I know it's hard to accept.,3.0,1.0
Aang," You don't understand, Katara. The only way to get to an airbender temple is on a flying bison, and I doubt the Fire Nation has any flying bison!  Right, Appa?",3.0,1.0
Aang,Yip yip!,3.0,1.0
Aang, There it is. The Southern Air Temple.,3.0,1.0
Katara,"Aang, it's amazing!",3.0,1.0
Aang," We're home, buddy! We're home. ",3.0,1.0
Zhao,"... And by the year's end, the Earth Kingdom capital will be under our rule.  The Fire Lord will finally claim victory in this war.",3.0,1.0
Zuko," If my father thinks the rest of the world will follow him willingly, then he is a fool!",3.0,1.0
Zhao," Two years at sea have done little to temper your tongue. So, how is your search for the Avatar going?",3.0,1.0
Iroh,"Eh.. My fault, entirely.",3.0,1.0
Zuko, We haven't found him yet.,3.0,1.0
Zhao,Did you really expect to? The Avatar  died  a hundred years ago.  Along with the rest of the airbenders.  Unless you have found some evidence that the Avatar is alive?,3.0,1.0
Zuko, No.  Nothing.,3.0,1.0
Zhao," Prince Zuko, the Avatar is the only one who can stop the Fire Nation from winning this war.  If you have an  ounce  of loyalty left, you'll tell me what you found.",3.0,1.0
Zuko,"I haven't found  anything.  It's like you said. The Avatar probably died a long time ago.  Come on, Uncle, we're going.",3.0,1.0
Soldier,"Commander Zhao, we interrogated the crew as you instructed. They confirmed Prince Zuko had the Avatar in custody,  but let him escape.",3.0,1.0
Zhao," Now remind me,  how,  exactly  , was your ship damaged?",3.0,1.0
Sokka,So where do I get something to eat?,3.0,1.0
Katara," You're lucky enough to be one of the  first  outsiders to  ever  visit an airbender temple, and all you can think about is food?",3.0,1.0
Sokka,"I'm just a simple guy, with simple needs.",3.0,1.0
Aang," So that's where my friends and I would play airball,  and over there  is where the bison would sleep, and ... ",3.0,1.0
Katara,What's wrong?,3.0,1.0
Aang, This place used to be full of monks and lemurs and bison. Now there's just a bunch of weeds.  I can't believe how much things have changed.,3.0,1.0
Sokka," So uh, this airball game. How do you play?",3.0,1.0
Aang," Aang, seven!  Sokka, zero!",3.0,1.0
Sokka," Making him feel better is putting  me  in a world of hurt.  Katara, check this out.",3.0,1.0
Katara,Fire Nation.,3.0,1.0
Sokka,We should tell him.,3.0,1.0
Katara, Aang! There's something you need to see.,3.0,1.0
Aang, Okay!,3.0,1.0
Aang, What is it?,3.0,1.0
Katara, Uh ... Just a new waterbending move I learned.,3.0,1.0
Aang,"Nice one! But enough practicing,  we have a whole temple to see!",3.0,1.0
Sokka," You know, you can't protect him forever.",3.0,1.0
Sokka," Katara, firebenders were here. You can't pretend they weren't.",3.0,1.0
Katara,"I can for Aang's sake. If he finds out that the Fire Nation invaded his home, he'll be devastated.",3.0,1.0
Aang, Hey guys!  I want you to meet somebody!,3.0,1.0
Sokka,Who's that?,3.0,1.0
Aang, Monk Gyatso! The greatest airbender in the world.  He taught me everything I know.,3.0,1.0
Gyatso,"But the true secret, is in the gooey center.",3.0,1.0
Aang, Hmm ...,3.0,1.0
Gyatso," My ancient cake-making technique isn't the only thing on your mind, is it, Aang?",3.0,1.0
Aang," This whole Avatar thing, m-maybe the monks made a mistake.",3.0,1.0
Gyatso,"The only mistake they made was telling you before you turned sixteen, but we can't concern ourselves with what was. We must act on what is.",3.0,1.0
Aang, But Gyatso? How do I know if I'm ready for this?,3.0,1.0
Gyatso," Your questions will be answered when you're old enough to enter the air temple sanctuary. Inside, you will meet someone who will guide you on your journey.",3.0,1.0
Aang, Who is it?,3.0,1.0
Gyatso," When you are ready, he will reveal himself to you.  Now, are you going to help me with these cakes,  or not?",3.0,1.0
Aang, All right.,3.0,1.0
Gyatso,One.  Two. Three!,3.0,1.0
Gyatso," Your aim has improved greatly,  my young pupil.",3.0,1.0
Katara, You must miss him.,3.0,1.0
Aang, Yeah. ,3.0,1.0
Katara, Where are you going?,3.0,1.0
Aang, The air temple sanctuary. There's someone I'm ready to meet.,3.0,1.0
Katara,"But Aang, no one could have survived in there for a hundred years.",3.0,1.0
Aang, It's not impossible.  I survived in the iceberg for that long.,3.0,1.0
Katara, Good point.,3.0,1.0
Aang," Katara, whoever's in there might help figure out this Avatar thing!",3.0,1.0
Sokka, And whoever's in there might have  a medley of delicious  cured meats!,3.0,1.0
Sokka,I don't suppose you have a key?,3.0,1.0
Aang," The key, Sokka, is airbending.",3.0,1.0
Aang, Hello?  Anyone home?,3.0,1.0
Zhao,So a twelve-year-old boy bested you and your firebenders.  You're more pathetic than I thought.,3.0,1.0
Zuko," I underestimated him  once  , but it will  not  happen again!",3.0,1.0
Zhao," No, it will not. Because you won't have a second chance.",3.0,1.0
Zuko," Commander Zhao,  I've been hunting the Avatar for two years and I -",3.0,1.0
Zhao, And you failed!  Capturing the Avatar is too important to leave in a teenager's hands. He's mine now.,3.0,1.0
Zhao,Keep them here.,3.0,1.0
Iroh," More tea, please.",3.0,1.0
Sokka, Statues? That's it? Where's the meat?,3.0,1.0
Katara,Who are all these people?,3.0,1.0
Aang, I'm not sure.  But it feels like I know them somehow. Look!  That one's an airbender.,3.0,1.0
Katara," And this one's a waterbender.  They're lined up in a pattern:  air, water, earth and fire.",3.0,1.0
Aang,That's the Avatar Cycle.,3.0,1.0
Katara," Of course. They're Avatars. All these people are your past lives, Aang.",3.0,1.0
Aang,Wow! There are so many!,3.0,1.0
